ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-0.003161264801242157	465.76	9.095238095238095	41.80952380952381	28.476190476190474	0.08844686490957651	52	622	492	19.0	223.0	153.0	438	8.0	15.0	11.0	738	0	109.91521120071411	2650	6396.418266057968	1222	53.88679245283019	
-0.0038837793968536844	466.88	8.384615384615385	33.97435897435897	22.846153846153847	0.08844686490957651	53	633	497	14.0	142.0	93.0	437	8.0	15.0	11.0	748	0	102.83998560905457	2700	6499.258251667023	1248	53.77777777777778	
-0.004306015439982093	463.1	8.565217391304348	35.69565217391305	23.934782608695652	0.08844686490957651	54	637	494	14.0	142.0	93.0	430	8.0	15.0	11.0	763	0	120.58126401901245	2750	6619.839515686035	1278	53.52727272727273	
-0.0036186897442002292	459.24	8.692307692307692	35.38461538461539	23.94871794871795	0.08844686490957651	55	649	500	14.0	142.0	93.0	428	8.0	15.0	11.0	774	0	99.7002100944519	2800	6719.539725780487	1302	53.5	
-0.005794715294189732	464.76	8.428571428571429	36.80952380952381	24.547619047619047	0.08844686490957651	56	658	486	14.0	142.0	93.0	434	8.0	15.0	11.0	786	0	108.60989832878113	2850	6828.149624109268	1326	53.473684210526315	
-0.0038926994923668672	457.98	8.447368421052632	36.421052631578945	24.5	0.08844686490957651	57	670	492	13.0	142.0	93.0	400	8.0	15.0	11.0	801	0	102.3360378742218	2900	6930.48566198349	1348	53.51724137931034	
-0.004839852966512067	458.1	8.435897435897436	35.256410256410255	23.58974358974359	0.08844686490957651	58	681	488	15.0	142.0	93.0	428	8.0	15.0	11.0	814	0	103.68917536735535	2950	7034.174837350845	1371	53.52542372881356	
-0.004416456693334187	459.36	8.69767441860465	39.30232558139535	26.441860465116278	0.08844686490957651	59	689	488	15.0	168.0	114.0	423	8.0	15.0	11.0	830	0	116.14475202560425	3000	7150.31958937645	1397	53.43333333333333	
-0.0021522685291433803	464.84	8.88888888888889	44.44444444444444	29.88888888888889	0.08844686490957651	60	694	498	17.0	233.0	159.0	433	8.0	15.0	11.0	848	0	133.3529975414276	3050	7283.672586917877	1424	53.31147540983607	
-0.0021522685291433803	464.84	8.88888888888889	44.44444444444444	29.88888888888889	0.08844686490957651	60	694	498	17.0	233.0	159.0	433	8.0	15.0	11.0	848	0	133.3529975414276	3050	7283.672586917877	1424	53.31147540983607	
